userid, password,residence_state, high_school_name, high_school_city, high_school_state,GPA, college_class,major_1,major_2, SAT_math, SAT_EBRW, ACT_English, ACT_math, ACT_reading, ACT_science, ACT_composite, SAT_literature, SAT_US_hist, SAT_world_hist, SAT_math_I, SAT_math_II, SAT_eco_bio, SAT_mol_bio, SAT_chemistry, SAT_physics,num_AP_passed
user159,Password!159,KS,Blue Valley North High School,Overland Park,KS,3.5,2026,Industrial and Product Design,,680,680,24,22,23,26,24,,,,,,,,,,2
user160,Password!160,PA,Radnor Senior High School,Radnor,PA,3.5,2025,Information Science/Studies,,680,690,27,24,24,22,24,,,,,,,,,,1
user161,Password!161,MO,Parkway Central High School,Chesterfield,MO,3.6,2026,Family and Consumer Sciences/Human Sciences,,670,700,24,23,26,27,25,,,,,,,,,,2
user162,Password!162,PA,Radnor Senior High School,Radnor,PA,3.6,2025,Architectural and Building Sciences/Technology,,670,670,26,20,25,23,24,,,,,,,,,,1
user163,Password!163,GA,Walton High School,Marietta,GA,3.5,2027,Bioengineering and Biomedical Engineering,,640,700,20,24,28,23,24,,,,,,,,,,1
user164,Password!164,AR,Haas Hall Academy,Fayetteville,AR,3.5,2025,Child Development,,670,630,26,22,25,24,24,,,,,,,,,,2
user165,Password!165,TX,Carroll Senior High School,Southlake,TX,3.5,2027,Mining and Mineral Engineering,,660,670,25,27,26,21,25,,,,,,,,,,1
user166,Password!166,GA,Walton High School,Marietta,GA,3.2,2026,Exercise Physiology,,680,680,23,27,28,20,25,,,,,,,,,,2
user167,Password!167,MI,International Academy,Bloomfield Hills,MI,3.5,2024,Geography,,690,600,24,23,25,24,24,,,,,,,,,,1
user168,Password!168,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.6,2027,Bioinformatics,,680,600,22,24,27,26,25,,,,,,,,,,1
user169,Password!169,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.8,2024,Animal Physiology,,650,690,24,24,27,26,25,,,,,,,,,,2
user170,Password!170,NM,Volcano Vista High School,Albuquerque,NM,3.5,2025,Agricultural and Extension Education Services,,650,580,25,29,29,24,27,,,,,,,,,,1
user171,Password!171,GA,Walton High School,Marietta,GA,3.3,2024,"Modeling, Virtual Environments and Simulation",,580,660,26,21,27,23,24,,,,,,,,,,1
user172,Password!172,KY,The Gatton Academy,Bowling Green,KY,3.7,2024,Developmental Biology and Embryology,,690,570,25,24,27,27,26,,,,,,,,,,2
user173,Password!173,TX,Carroll Senior High School,Southlake,TX,3.3,2026,Elementary and Middle School Administration/Principalship,,620,620,22,26,27,26,25,,,,,,,,,,2
user174,Password!174,VA,McLean High School,McLean,VA,3.4,2024,CAD/CADD Drafting and/or Design Technology/Technician,,660,580,29,28,26,28,28,,,,,,,,,,2
user175,Password!175,MA,Lexington High School,Lexington,MA,3.6,2024,Computer and Information Sciences,,570,690,27,24,26,29,27,,,,,,,,,,1
user176,Password!176,NC,North Carolina School of Science and Mathematics,Durham,NC,3.3,2024,Ceramic Sciences and Engineering,,680,680,27,28,28,24,27,,,,,,,,,,1
user177,Password!177,CO,Fairview High School,Boulder,CO,3.5,2026,Dairy Science,,640,680,28,22,30,26,27,,,,,,,,,,1
user178,Password!178,NC,North Carolina School of Science and Mathematics,Durham,NC,3.4,2024,Nuclear Engineering,,660,630,22,28,24,26,25,,,,,,,,,,1
user179,Password!179,MA,Lexington High School,Lexington,MA,3.3,2024,"City/Urban, Community and Regional Planning",,630,660,25,27,27,22,25,,,,,,,,,,1
user180,Password!180,OH,Madeira High School,Cincinnati,OH,3.6,2024,"Romance Languages, Literatures, and Linguistics",,620,630,27,25,24,28,26,,,,,,,,,,2
user181,Password!181,CO,Fairview High School,Boulder,CO,3.4,2025,Tourism and Travel Services Marketing Operations,,680,690,21,23,23,26,23,,,,,,,,,,1
user182,Password!182,TX,Carroll Senior High School,Southlake,TX,3.4,2025,Counseling Psychology,,580,650,28,22,23,26,25,,,,,,,,,,1
user183,Password!183,PA,Radnor Senior High School,Radnor,PA,3.4,2026,Aeronautics/Aviation/Aerospace Science and Technology,,680,650,26,29,29,26,28,,,,,,,,,,2
user184,Password!184,MN,Eagan Senior High School,Eagan,MN,3.5,2026,Theological and Ministerial Studies,,670,730,30,26,27,25,27,,,,,,,,,,1
user185,Password!185,NY,Brooklyn Technical High School,Brooklyn,NY,3.4,2027,Latin American Studies,,600,650,23,23,27,25,25,,,,,,,,,,2
user186,Password!186,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.8,2025,Poultry Science,,610,670,23,22,24,25,24,,,,,,,,,,1
user187,Password!187,MO,Parkway Central High School,Chesterfield,MO,3.7,2027,Hospitality and Recreation Marketing Operations,,630,640,27,25,29,26,27,,,,,,,,,,1
user188,Password!188,MN,Eagan Senior High School,Eagan,MN,3.4,2025,Landscaping and Groundskeeping,,670,690,28,21,25,24,25,,,,,,,,,,1
user189,Password!189,NY,Brooklyn Technical High School,Brooklyn,NY,3.6,2027,English/Language Arts Teacher Education,,580,720,23,26,23,21,23,,,,,,,,,,1
user190,Password!190,PA,Radnor Senior High School,Radnor,PA,3.4,2024,Epidemiology,,660,670,27,27,23,27,26,,,,,,,,,,2
user191,Password!191,AZ,BASIS Tucson North,Tucson,AZ,3.3,2024,Criminal Justice/Safety Studies,,700,590,27,25,26,29,27,,,,,,,,,,2
user192,Password!192,AR,Haas Hall Academy,Fayetteville,AR,3.5,2024,International Relations and National Security Studies,,660,680,25,25,23,27,25,,,,,,,,,,2
user193,Password!193,TX,Carroll Senior High School,Southlake,TX,3.3,2026,African-American/Black Studies,,680,630,25,24,24,27,25,,,,,,,,,,2
user194,Password!194,TX,Carroll Senior High School,Southlake,TX,3.4,2024,Nursing Science,,590,660,30,24,26,24,26,,,,,,,,,,2
user195,Password!195,NM,Volcano Vista High School,Albuquerque,NM,3.7,2024,Applied and Professional Ethics,,580,740,27,25,23,21,24,,,,,,,,,,2
user196,Password!196,GA,Walton High School,Marietta,GA,3.8,2024,Computational Biology,,620,650,20,21,30,22,23,,,,,,,,,,2
user197,Password!197,WI,Whitefish Bay High School,Whitefish Bay,WI,3.6,2025,Journalism,,660,590,29,29,27,26,28,,,,,,,,,,1
user198,Password!198,NY,Brooklyn Technical High School,Brooklyn,NY,3.4,2025,Bilingual and Multilingual Education,,680,640,24,26,25,23,25,,,,,,,,,,2
user199,Password!199,TX,Carroll Senior High School,Southlake,TX,3.5,2024,"Electrical, Electronics and Communications Engineering",,650,690,22,28,23,24,24,,,,,,,,,,1
user200,Password!200,AL,Mt Brook High School,Mountain Brook,AL,3.4,2024,Marketing,,690,690,26,28,24,22,25,,,,,,,,,,2
user201,Password!201,NC,North Carolina School of Science and Mathematics,Durham,NC,3.4,2024,Physics,,670,660,27,22,28,24,25,,,,,,,,,,2
user202,Password!202,KY,The Gatton Academy,Bowling Green,KY,3.2,2025,Playwriting and Screenwriting,,600,650,24,27,23,25,25,,,,,,,,,,1
user203,Password!203,KY,The Gatton Academy,Bowling Green,KY,3.6,2025,Polysomnography,,680,680,24,23,26,30,26,,,,,,,,,,2
user204,Password!204,TX,Carroll Senior High School,Southlake,TX,3.8,2024,Biochemistry and Molecular Biology,,640,680,27,22,26,22,24,,,,,,,,,,2
user205,Password!205,NY,Brooklyn Technical High School,Brooklyn,NY,3.2,2026,Graphic Design,,660,700,28,26,26,20,25,,,,,,,,,,1
user206,Password!206,NC,North Carolina School of Science and Mathematics,Durham,NC,3.5,2024,"Electrical, Electronic and Communications Engineering Technology/Technician",,690,630,24,26,26,20,24,,,,,,,,,,1
user207,Password!207,CO,Fairview High School,Boulder,CO,3.3,2024,Dance,,650,580,27,24,23,26,25,,,,,,,,,,1
user208,Password!208,OH,Madeira High School,Cincinnati,OH,3.5,2025,Linguistics,,610,640,22,28,26,29,26,,,,,,,,,,1
user209,Password!209,CO,Fairview High School,Boulder,CO,3.6,2024,Learning Sciences,,680,690,27,28,28,26,27,,,,,,,,,,1
user210,Password!210,AL,Mt Brook High School,Mountain Brook,AL,3.2,2027,Occupational Safety and Health Technology/Technician,,650,700,20,29,22,26,24,,,,,,,,,,1
user211,Password!211,NY,Brooklyn Technical High School,Brooklyn,NY,3.5,2026,Legal Professions and Studies,,690,690,29,26,24,24,26,,,,,,,,,,2
user212,Password!212,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2024,Sales and Marketing Operations/Marketing and Distribution Teacher Education,,660,670,29,26,25,24,26,,,,,,,,,,2
user213,Password!213,MI,International Academy,Bloomfield Hills,MI,3.5,2024,Astronomy,,640,570,24,26,30,26,27,,,,,,,,,,2
user214,Password!214,NY,Brooklyn Technical High School,Brooklyn,NY,3.6,2025,Business/Corporate Communications,,700,590,24,23,20,20,22,,,,,,,,,,2
user215,Password!215,PA,Radnor Senior High School,Radnor,PA,3.6,2026,Plant Sciences,,590,630,22,26,24,26,25,,,,,,,,,,2
user216,Password!216,NJ,Academy for Information Technology,Scotch Plains,NJ,3.5,2027,Architectural Engineering,,710,690,26,24,24,28,26,,,,,,,,,,1
user217,Password!217,PA,Radnor Senior High School,Radnor,PA,3.5,2026,Machine Tool Technology/Machinist,,700,660,24,25,29,22,25,,,,,,,,,,1
user218,Password!218,NC,North Carolina School of Science and Mathematics,Durham,NC,3.5,2026,Cultural Studies/Critical Theory and Analysis,,650,690,26,18,24,24,23,,,,,,,,,,1
user219,Password!219,NC,North Carolina School of Science and Mathematics,Durham,NC,3.6,2027,Social Science Teacher Education,,680,680,24,22,29,29,26,,,,,,,,,,2
user220,Password!220,WA,Bellevue High School,Bellevue,WA,3.5,2026,"Human Development, Family Studies",,640,680,27,22,20,26,24,,,,,,,,,,2
user221,Password!221,SC,Academic Magnet High School,North Charleston,SC,3.4,2026,Theoretical and Mathematical Physics,,680,580,23,26,26,26,25,,,,,,,,,,1
user222,Password!222,OH,Madeira High School,Cincinnati,OH,3.5,2026,Film/Cinema/Video Studies,,610,660,26,20,26,24,24,,,,,,,,,,2
user223,Password!223,MI,International Academy,Bloomfield Hills,MI,3.2,2025,Meeting and Event Planning,,700,690,27,20,26,25,25,,,,,,,,,,1
user224,Password!224,AL,Mt Brook High School,Mountain Brook,AL,3.5,2026,Sociology and Anthropology,,650,690,22,27,27,23,25,,,,,,,,,,2
user225,Password!225,AZ,BASIS Tucson North,Tucson,AZ,3.4,2027,Keyboard Instruments,,640,700,22,24,22,22,23,,,,,,,,,,2
user226,Password!226,SC,Academic Magnet High School,North Charleston,SC,3.4,2026,Labor Studies,,570,580,26,21,27,24,25,,,,,,,,,,1
user227,Password!227,NC,North Carolina School of Science and Mathematics,Durham,NC,3.6,2025,Urban Forestry,,590,640,27,23,22,22,24,,,,,,,,,,1
user228,Password!228,KS,Blue Valley North High School,Overland Park,KS,3.8,2024,Soil Science and Agronomy,,680,700,24,26,28,23,25,,,,,,,,,,2
user229,Password!229,SC,Academic Magnet High School,North Charleston,SC,3.4,2024,International/Global Studies,,660,740,22,24,27,22,24,,,,,,,,,,1
user230,Password!230,KS,Blue Valley North High School,Overland Park,KS,3.4,2026,Electrical and Electronic Engineering Technologies/Technicians,,690,630,24,27,28,21,25,,,,,,,,,,2
user231,Password!231,KY,The Gatton Academy,Bowling Green,KY,3.4,2024,Occupational Therapy/Therapist,,690,660,23,25,26,27,25,,,,,,,,,,1
user232,Password!232,TX,Carroll Senior High School,Southlake,TX,3.5,2025,Chinese Language and Literature,,700,680,26,21,24,24,24,,,,,,,,,,2
user233,Password!233,NM,Volcano Vista High School,Albuquerque,NM,3.4,2027,Electromechanical Technology/Electromechanical Engineering Technology,,660,700,26,27,22,23,25,,,,,,,,,,2
user234,Password!234,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.7,2025,Radiologic Technology/Science - Radiographer,,640,660,27,23,25,26,25,,,,,,,,,,1
user235,Password!235,CO,Fairview High School,Boulder,CO,3.4,2024,Human Resources Development,,680,580,25,24,27,22,25,,,,,,,,,,1
user236,Password!236,MI,International Academy,Bloomfield Hills,MI,3.4,2027,Agricultural Public Services,,590,740,24,25,27,21,24,,,,,,,,,,2
user237,Password!237,NM,Volcano Vista High School,Albuquerque,NM,3.4,2024,Special Education and Teaching,,630,580,29,26,22,26,26,,,,,,,,,,1
user238,Password!238,OH,Madeira High School,Cincinnati,OH,3.4,2025,Agricultural Communication/Journalism,,730,520,24,26,24,23,24,,,,,,,,,,2
user239,Password!239,SC,Academic Magnet High School,North Charleston,SC,3.3,2025,Genetics,,660,690,29,24,26,27,27,,,,,,,,,,1
user240,Password!240,NC,North Carolina School of Science and Mathematics,Durham,NC,3.4,2024,Biology Teacher Education,,700,680,26,26,18,24,24,,,,,,,,,,1
user241,Password!241,CA,Canyon Crest Academy,San Diego,CA,3.4,2025,Woodworking,,690,540,22,23,23,29,24,,,,,,,,,,1
user242,Password!242,CO,Fairview High School,Boulder,CO,3.6,2024,Astrophysics,,620,640,23,27,27,24,25,,,,,,,,,,1
user243,Password!243,NY,Brooklyn Technical High School,Brooklyn,NY,3.5,2026,Biological and Biomedical Sciences,,670,560,26,28,22,26,26,,,,,,,,,,1
user244,Password!244,GA,Walton High School,Marietta,GA,3.5,2027,International Public Health/International Health,,730,680,27,24,26,22,25,,,,,,,,,,1
user245,Password!245,CA,Canyon Crest Academy,San Diego,CA,3.4,2027,Museology/Museum Studies,,640,620,25,24,25,26,25,,,,,,,,,,2
user246,Password!246,AR,Haas Hall Academy,Fayetteville,AR,3.5,2024,Forest Sciences and Biology,,730,680,29,25,26,29,27,,,,,,,,,,1
user247,Password!247,CO,Fairview High School,Boulder,CO,3.5,2024,Research and Experimental Psychology,,560,540,21,21,24,24,23,,,,,,,,,,1
user248,Password!248,AZ,BASIS Tucson North,Tucson,AZ,3.6,2027,Hydrology and Water Resources Science,,660,600,29,25,27,22,26,,,,,,,,,,1
user249,Password!249,WI,Whitefish Bay High School,Whitefish Bay,WI,3.6,2024,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,,610,690,25,28,26,24,26,,,,,,,,,,1
user250,Password!250,MI,International Academy,Bloomfield Hills,MI,3.6,2024,Trade and Industrial Teacher Education,,560,580,23,25,29,26,26,,,,,,,,,,1
user251,Password!251,CA,Canyon Crest Academy,San Diego,CA,3.5,2026,Visual and Performing Arts,,680,630,23,29,23,27,26,,,,,,,,,,2
user252,Password!252,GA,Walton High School,Marietta,GA,3.5,2025,Water Resources Engineering,,620,700,26,26,23,20,24,,,,,,,,,,2
user253,Password!253,MI,International Academy,Bloomfield Hills,MI,3.5,2026,Acting,,640,700,26,29,28,24,27,,,,,,,,,,2
user254,Password!254,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.6,2025,Social Sciences,,680,620,27,27,27,23,26,,,,,,,,,,1
user255,Password!255,NC,North Carolina School of Science and Mathematics,Durham,NC,3.6,2027,Animal Sciences,,730,650,26,26,29,28,27,,,,,,,,,,2
user256,Password!256,NY,Brooklyn Technical High School,Brooklyn,NY,3.8,2025,Printmaking,,600,650,28,24,27,20,25,,,,,,,,,,1
user257,Password!257,CA,Canyon Crest Academy,San Diego,CA,3.6,2025,Technical Teacher Education,,690,730,24,28,24,23,25,,,,,,,,,,2
user258,Password!258,AZ,BASIS Tucson North,Tucson,AZ,3.6,2024,Special Products Marketing Operations,,610,570,23,24,25,22,24,,,,,,,,,,1
user259,Password!259,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.6,2026,Design and Visual Communications,,660,660,26,23,25,23,24,,,,,,,,,,1
user260,Password!260,SC,Academic Magnet High School,North Charleston,SC,3.5,2026,Occupational Health and Industrial Hygiene,,610,640,27,26,23,28,26,,,,,,,,,,2
user261,Password!261,NH,Hanover High School,Hanover,NH,3.5,2027,Computer and Information Systems Security/Information Assurance,,580,650,24,22,24,23,23,,,,,,,,,,2
user262,Password!262,NY,Brooklyn Technical High School,Brooklyn,NY,3.5,2026,Urban Studies/Affairs,,710,670,26,23,28,24,25,,,,,,,,,,1
user263,Password!263,NJ,Academy for Information Technology,Scotch Plains,NJ,3.3,2024,Philosophy and Religious Studies,,630,640,23,27,25,27,26,,,,,,,,,,1
user264,Password!264,WA,Bellevue High School,Bellevue,WA,3.5,2024,Foodservice Systems Administration/Management,,640,760,28,24,20,22,24,,,,,,,,,,1
user265,Password!265,AR,Haas Hall Academy,Fayetteville,AR,3.5,2024,Public Administration,,690,660,22,21,27,24,24,,,,,,,,,,1
user266,Password!266,WA,Bellevue High School,Bellevue,WA,3.2,2025,Information Technology,,680,690,18,20,28,28,24,,,,,,,,,,2
user267,Password!267,OH,Madeira High School,Cincinnati,OH,3.8,2024,Stringed Instruments,,730,660,22,26,26,24,25,,,,,,,,,,2
user268,Password!268,MA,Lexington High School,Lexington,MA,3.5,2025,Movement Therapy and Movement Education,,690,670,26,27,27,23,26,,,,,,,,,,2
user269,Password!269,AL,Mt Brook High School,Mountain Brook,AL,3.6,2027,Architectural History and Criticism,,660,630,27,30,23,24,26,,,,,,,,,,1
user270,Password!270,NH,Hanover High School,Hanover,NH,3.2,2027,Securities Services Administration/Management,,620,700,30,26,28,27,28,,,,,,,,,,1
user271,Password!271,CA,Canyon Crest Academy,San Diego,CA,3.5,2027,Hospitality Administration/Management,,670,720,23,22,24,25,24,,,,,,,,,,1
user272,Password!272,SC,Academic Magnet High School,North Charleston,SC,3.6,2024,Indian/Native American Education,,650,620,27,28,22,28,26,,,,,,,,,,1
user273,Password!273,WI,Whitefish Bay High School,Whitefish Bay,WI,3.4,2024,Computer and Information Sciences and Support Services,,690,660,23,26,22,25,24,,,,,,,,,,2
user274,Password!274,OH,Madeira High School,Cincinnati,OH,3.5,2027,Environmental Biology,,700,650,23,26,30,29,27,,,,,,,,,,1
user275,Password!275,MO,Parkway Central High School,Chesterfield,MO,3.7,2025,"Crafts/Craft Design, Folk Art and Artisanry",,640,630,23,27,27,26,26,,,,,,,,,,1
user276,Password!276,PA,Radnor Senior High School,Radnor,PA,3.4,2024,"Parks, Recreation, Leisure, and Fitness Studies",,630,650,27,23,28,23,25,,,,,,,,,,1
user277,Password!277,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.3,2027,Geological and Earth Sciences/Geosciences,,630,660,29,25,26,23,26,,,,,,,,,,1
user278,Password!278,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.5,2024,Fire Science/Fire-fighting,,700,730,25,25,26,23,25,,,,,,,,,,2
user279,Password!279,VA,McLean High School,McLean,VA,3.6,2027,Community Health and Preventive Medicine,,690,700,30,27,23,22,26,,,,,,,,,,1
user280,Password!280,MN,Eagan Senior High School,Eagan,MN,3.5,2027,Peace Studies and Conflict Resolution,,660,700,22,22,24,27,24,,,,,,,,,,2
user281,Password!281,AR,Haas Hall Academy,Fayetteville,AR,3.5,2025,Ural-Altaic and Central Asian Studies,,680,670,22,26,20,26,24,,,,,,,,,,1
user282,Password!282,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.6,2024,American/United States Studies/Civilization,,700,650,24,27,26,24,25,,,,,,,,,,1
user283,Password!283,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.3,2025,Environmental Health,,640,620,28,25,26,24,26,,,,,,,,,,1
user284,Password!284,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2027,Modern Greek Language and Literature,,590,690,22,26,27,27,26,,,,,,,,,,1
user285,Password!285,MO,Parkway Central High School,Chesterfield,MO,3.4,2025,"Classics and Classical Languages, Literatures, and Linguistics",,740,660,22,24,25,23,24,,,,,,,,,,1
user286,Password!286,GA,Walton High School,Marietta,GA,3.4,2027,Kinesiology and Exercise Science,,740,620,21,25,27,24,24,,,,,,,,,,2
user287,Password!287,PA,Radnor Senior High School,Radnor,PA,3.7,2026,Horse Husbandry/Equine Science and Management,,600,700,23,24,27,25,25,,,,,,,,,,1
user288,Password!288,MI,International Academy,Bloomfield Hills,MI,3.6,2025,Mathematics and Computer Science,,650,700,29,28,27,18,26,,,,,,,,,,2
user289,Password!289,MN,Eagan Senior High School,Eagan,MN,3.5,2026,"Public Relations, Advertising, and Applied Communication",,680,690,26,25,24,27,26,,,,,,,,,,1
user290,Password!290,SC,Academic Magnet High School,North Charleston,SC,3.7,2027,Sports Studies,,660,700,27,23,25,27,26,,,,,,,,,,2
user291,Password!291,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2025,Physical Education Teaching and Coaching,,650,660,20,22,27,22,23,,,,,,,,,,1
user292,Password!292,OH,Madeira High School,Cincinnati,OH,3.5,2024,Cell/Cellular and Molecular Biology,,660,610,28,27,22,26,26,,,,,,,,,,1
user293,Password!293,VA,McLean High School,McLean,VA,3.3,2024,Nuclear Medical Technology/Technologist,,620,740,27,29,20,30,27,,,,,,,,,,1
user294,Password!294,WI,Whitefish Bay High School,Whitefish Bay,WI,3.4,2027,Sustainability Studies,,690,560,21,18,23,22,21,,,,,,,,,,2
user295,Password!295,CO,Fairview High School,Boulder,CO,3.5,2025,Cinematography and Film/Video Production,,680,670,26,26,22,28,26,,,,,,,,,,2
user296,Password!296,AR,Haas Hall Academy,Fayetteville,AR,3.4,2025,Biological and Physical Sciences,,600,710,24,25,24,22,24,,,,,,,,,,1
user297,Password!297,MO,Parkway Central High School,Chesterfield,MO,3.4,2027,Management Information Systems and Services,,650,650,29,25,27,26,27,,,,,,,,,,1
user298,Password!298,KS,Blue Valley North High School,Overland Park,KS,3.6,2026,Computer Software Engineering,,630,680,23,22,29,29,26,,,,,,,,,,2
user299,Password!299,TX,Carroll Senior High School,Southlake,TX,3.4,2026,"Linguistic, Comparative",,770,660,27,23,27,26,26,,,,,,,,,,2
user300,Password!300,MN,Eagan Senior High School,Eagan,MN,3.4,2027,Metallurgical Engineering,,610,660,21,21,27,23,23,,,,,,,,,,2
user301,Password!301,VA,McLean High School,McLean,VA,3.7,2025,Athletic Training/Trainer,,590,690,24,29,20,24,24,,,,,,,,,,1
user302,Password!302,GA,Walton High School,Marietta,GA,3.6,2024,Youth Services/Administration,,520,660,29,23,27,26,26,,,,,,,,,,2
user303,Password!303,NJ,Academy for Information Technology,Scotch Plains,NJ,3.4,2025,Italian Language and Literature,,660,590,28,22,28,27,26,,,,,,,,,,1
user304,Password!304,AR,Haas Hall Academy,Fayetteville,AR,3.5,2025,Forest Management/Forest Resources Management,,630,700,22,22,24,23,23,,,,,,,,,,1
user305,Password!305,WA,Bellevue High School,Bellevue,WA,3.7,2024,Pharmacology,,700,650,27,24,28,27,27,,,,,,,,,,2
user306,Password!306,MN,Eagan Senior High School,Eagan,MN,3.5,2025,Writing,,650,520,25,26,24,24,25,,,,,,,,,,2
user307,Password!307,KS,Blue Valley North High School,Overland Park,KS,3.5,2024,Occupational Therapist Assistant,,640,610,29,23,28,26,27,,,,,,,,,,1
user308,Password!308,TX,Carroll Senior High School,Southlake,TX,3.4,2025,German Language and Literature,,690,660,24,21,24,23,23,,,,,,,,,,1
user309,Password!309,AR,Haas Hall Academy,Fayetteville,AR,3.6,2025,Computational Science,,710,730,22,26,28,20,24,,,,,,,,,,2
user310,Password!310,GA,Walton High School,Marietta,GA,3.6,2026,Fine/Studio Arts,,640,670,29,27,20,29,26,,,,,,,,,,1
user311,Password!311,KY,The Gatton Academy,Bowling Green,KY,3.6,2027,"Arts, Entertainment, and Media Management",,580,670,23,24,28,24,25,,,,,,,,,,1
user312,Password!312,VA,McLean High School,McLean,VA,3.3,2027,Homeland Security,,630,690,27,24,21,27,25,,,,,,,,,,2
user313,Password!313,AR,Haas Hall Academy,Fayetteville,AR,3.6,2024,Biometry/Biometrics,,560,660,27,24,22,22,24,,,,,,,,,,1
user314,Password!314,MI,International Academy,Bloomfield Hills,MI,3.5,2025,Dietetics/Dietitian,,690,700,27,26,29,24,27,,,,,,,,,,1
user315,Password!315,CA,Canyon Crest Academy,San Diego,CA,3.5,2024,Fashion Merchandising,,570,610,20,27,30,27,26,,,,,,,,,,1
user316,Password!316,AR,Haas Hall Academy,Fayetteville,AR,3.5,2025,Respiratory Care Therapy/Therapist,,700,620,27,23,24,26,25,,,,,,,,,,1
user317,Password!317,OH,Madeira High School,Cincinnati,OH,3.6,2024,Entrepreneurship/Entrepreneurial Studies,,590,640,22,24,27,25,25,,,,,,,,,,1
user318,Password!318,AL,Mt Brook High School,Mountain Brook,AL,3.5,2025,Comparative Literature,,670,680,24,25,27,24,25,,,,,,,,,,2
user319,Password!319,TX,Carroll Senior High School,Southlake,TX,3.4,2025,Medical Microbiology and Bacteriology,,680,630,28,23,23,23,24,,,,,,,,,,1
user320,Password!320,MA,Lexington High School,Lexington,MA,3.4,2026,Surveying Technology/Surveying,,670,660,24,29,21,30,26,,,,,,,,,,2
user321,Password!321,PA,Radnor Senior High School,Radnor,PA,3.7,2024,Asian-American Studies,,660,660,27,28,26,22,26,,,,,,,,,,1
user322,Password!322,SC,Academic Magnet High School,North Charleston,SC,3.6,2024,Mathematics and Statistics,,680,540,21,21,22,27,23,,,,,,,,,,2
user323,Password!323,CA,Canyon Crest Academy,San Diego,CA,3.6,2027,Public Relations/Image Management,,700,690,27,23,23,26,25,,,,,,,,,,2
user324,Password!324,NY,Brooklyn Technical High School,Brooklyn,NY,3.7,2024,Family and Consumer Economics,,690,690,22,22,25,22,23,,,,,,,,,,2
user325,Password!325,NY,Brooklyn Technical High School,Brooklyn,NY,3.4,2025,"Animation, Interactive Technology, Video Graphics and Special Effects",,600,690,25,26,29,26,27,,,,,,,,,,2
user326,Password!326,KS,Blue Valley North High School,Overland Park,KS,3.6,2026,Art/Art Studies,,650,660,22,22,26,21,23,,,,,,,,,,1
user327,Password!327,NH,Hanover High School,Hanover,NH,3.8,2027,Voice and Opera,,700,650,30,23,23,26,26,,,,,,,,,,2
user328,Password!328,KS,Blue Valley North High School,Overland Park,KS,3.5,2024,Energy Management and Systems Technology/Technician,,620,670,25,26,23,26,25,,,,,,,,,,2
user329,Password!329,WI,Whitefish Bay High School,Whitefish Bay,WI,3.6,2026,Sociology,,660,650,20,18,26,29,23,,,,,,,,,,2
user330,Password!330,WA,Bellevue High School,Bellevue,WA,3.6,2027,Agricultural Business Technology,,660,680,22,26,25,28,25,,,,,,,,,,2
user331,Password!331,OH,Madeira High School,Cincinnati,OH,3.4,2024,Asian History,,670,650,27,27,29,24,27,,,,,,,,,,2
user332,Password!332,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.4,2024,Administrative Assistant and Secretarial Science,,700,640,25,27,28,26,27,,,,,,,,,,1
user333,Password!333,AZ,BASIS Tucson North,Tucson,AZ,3.5,2027,Publishing,,660,690,23,21,27,25,24,,,,,,,,,,2
user334,Password!334,PA,Radnor Senior High School,Radnor,PA,3.6,2027,Agronomy and Crop Science,,680,690,23,18,23,27,23,,,,,,,,,,1
user335,Password!335,AL,Mt Brook High School,Mountain Brook,AL,3.6,2024,Critical Infrastructure Protection,,590,650,24,24,26,29,26,,,,,,,,,,1
user336,Password!336,OH,Madeira High School,Cincinnati,OH,3.6,2025,Dramatic/Theatre Arts and Stagecraft,,740,680,26,26,25,23,25,,,,,,,,,,1
user337,Password!337,KY,The Gatton Academy,Bowling Green,KY,3.6,2024,International Finance,,660,630,29,22,29,20,25,,,,,,,,,,1
user338,Password!338,AL,Mt Brook High School,Mountain Brook,AL,3.4,2026,Metal and Jewelry Arts,,600,600,20,24,27,25,24,,,,,,,,,,1
user339,Password!339,AR,Haas Hall Academy,Fayetteville,AR,3.6,2024,Secondary Education and Teaching,,610,630,21,25,24,25,24,,,,,,,,,,1
user340,Password!340,SC,Academic Magnet High School,North Charleston,SC,3.5,2024,Manufacturing Engineering,,650,630,26,25,26,27,26,,,,,,,,,,1
user341,Password!341,NM,Volcano Vista High School,Albuquerque,NM,3.6,2024,Youth Ministry,,680,690,22,22,23,25,23,,,,,,,,,,2
